#eta    A       B           D_1         D_2         F
0.0	-6.137070	3.510384	-2.970357	5.094481	10.446110
0.2	-6.000493	3.488592	-2.929588	5.016259	10.125883
0.4	-5.601358	3.426008	-2.810643	4.796309	9.217954
0.6	-4.968023	3.330004	-2.622546	4.472115	7.857892
0.8	-4.138507	3.210186	-2.377495	4.089129	6.213220
1.0	-3.152155	3.076042	-2.088289	3.687574	4.437018
1.2	-2.044107	2.935479	-1.766585	3.296146	2.644323
1.4	-0.843026	2.794342	-1.422149	2.931792	0.909371
1.6	0.428951	2.656552	-1.062759	2.602411	-0.726525
1.8	1.755233	2.524509	-0.694443	2.310013	-2.244748
2.0	3.123547	2.399517	-0.321799	2.053253	-3.640744
2.2	4.524827	2.282139	0.051699	1.829137	-4.917909
2.4	5.952341	2.172469	0.423445	1.634051	-6.083685
2.6	7.401032	2.070310	0.791504	1.464336	-7.147220
2.8	8.867055	1.975305	1.154458	1.316567	-8.118052
3.0	10.347443	1.887008	1.511283	1.187672	-9.005409
3.2	11.839877	1.804946	1.861263	1.074970	-9.817868
3.4	13.342516	1.728639	2.203918	0.976148	-10.563225
3.6	14.853884	1.657625	2.538948	0.889234	-11.248471
3.8	16.372779	1.591466	2.866195	0.812552	-11.879827
4.0	17.898215	1.529757	3.185604	0.744679	-12.462804
4.2	19.429375	1.472124	3.497204	0.684411	-13.002275
4.4	20.965572	1.418224	3.801083	0.630726	-13.502544
4.6	22.506231	1.367745	4.097373	0.582757	-13.967417
4.8	24.050858	1.320404	4.386241	0.539765	-14.400261
5.0	25.599033	1.275944	4.667874	0.501122	-14.804060
